code_muni,tmax_mean,tmin_mean,pr_mean,rh_mean,rs_mean
1303536,24.086342743514848,17.805231705098084,376.7950336130363,61.17620029760428,11.41276059040861
1303569,23.897337154069906,17.93138371904691,112.74365202726473,61.03602458171092,11.070860226831002
1303601,21.954117742922385,15.087678500184431,1067.7073476288822,64.58169759026435,11.916958303387526
1303700,23.92278784667382,17.36285678487918,298.4149034303598,64.73573178257968,11.314827472990283
1303809,23.77000061539767,16.992190631482522,1737.3213619508513,64.42698153107484,11.443050681204566
1303908,23.824780765369955,17.202245104437072,412.15130707959923,65.19192758237531,11.19321691585451
1303957,23.81713456998059,17.855461511498607,185.49883682506658,62.18961281873321,11.588065299271069
1304005,23.712395269030207,17.989707758396584,82.77845523260892,62.39475189251694,11.64199174505969
1304062,23.688167805376818,17.467971747024027,84.80000025820536,64.87770462003559,10.986873850810118
1304104,24.278935455546623,17.422976251298063,1193.195866779479,64.12789360465298,11.718638983480806
1304203,24.319743825883513,17.48369518595752,446.9574979283432,65.0646777185196,11.798026610034663
1304237,24.097528055721256,17.338332064231167,175.84200680574386,64.63817710490207,11.471162746929314
1304260,24.385935391443716,17.531761451523767,219.08710909873875,64.94431906300181,11.676548211695408
1304302,23.96237794470759,17.641752636523595,423.0676120251744,61.64152392549134,11.960609127867949
1304401,23.95110632565327,18.057864978717106,64.29660070925101,62.48554172284656,12.175270854058224
1400027,23.391626267086174,16.040017747543228,309.3389733305988,58.586668884302945,14.024191550977152
1400050,23.306913622528175,15.985894371925944,312.34651388870816,59.23439975771528,13.937217570839126
1400100,25.46805660574404,18.041257935834114,81.0053428551714,57.09728746236402,14.289212667755182
1400159,25.15948355827533,17.750511755143673,107.35717689573703,57.54425551954924,14.240544915375816
1400175,25.019679142170947,17.65029454986814,105.29970662538426,57.75681853136966,14.232014762333861
1400209,23.94604355558543,16.79147356657635,663.546157596742,61.73220303560227,13.474145251190718
1400233,24.06824284540096,16.94204892120171,165.74079397366154,59.13832447119932,13.245304275951195
1400282,23.803834733548857,16.597417654845636,205.46640198671903,59.62551295469589,13.904660672174565
1400308,24.373078776077485,17.03703145060181,169.81085154423369,58.94317913703411,14.139379030993174
1400407,24.75307885756795,17.369406513345073,86.19418635885283,57.027852777236454,14.290721917618393
1400456,23.99049618350508,16.615420841834915,103.39534763680955,57.19213864232628,14.293643737257323
1400472,24.77476793032647,17.962576010347533,498.3582005583069,61.90332840477497,12.724542748349164
1400506,24.687328968337024,17.60864061257089,75.35630810909069,59.30990941549472,13.078656440828118
1400605,24.903673424459818,17.760505928050186,38.473629556539876,59.47894073426374,13.382837832214513
1400704,22.918599022106385,15.57682746998581,95.74121844138585,57.18838153933634,14.291963657330227
1500107,24.290477874723784,17.98215534180368,71.54269661835238,63.62918120741564,12.280312959896182
1500131,24.10255902542125,16.321529066478703,19.304098666246748,60.26592287091547,12.65015621473488
